"OUTLET_ID","LATITUDE","LONGITUDE","DEALER_NAME","GSSN_OUTLET_ID","DEALER_PHONE","DEALER_FAX","DEALER_ADDRESS_LINE1","DEALER_ADDRESS_LINE2","DEALER_CITY","DEALER_STATE","DEALER_ZIP","DEALER_REGION_CODE","MAYBACH_DEALER_INDICATOR_FRANCHISE","ELITE_AMG_PERFORMANCE_CENTER","AMG_PERFORMANCE_CENTER_INDICATOR","SERVICE_ONLY_DEALER_INDICATOR","DEALER_PREMIUM_EXPRESS_INDICATOR","ZERO_EMISSION_VEHICLE_STATE_INDICATOR","FRANCHISE_MB","FRANCHISE_SM","FRANCHISE_SPRINTER","DEALER_WEBSITE","DEALER_WEBSITE_SERVICE","DEALER_WEBSITE_SALES","DEALER_COUNTRY","LANGUAGES_SPOKEN","CREATED_BY","CREATED_DATE","UPDATED_BY","UPDATED_DATE"
"M01H7066","18.072531","-94.26303","Eurodiez S.A. de C.V.","GS0018563","921 217 2310","921 217 2310","Carretera Coatza-Mina km. 4.0 ","Col Heroes de Nacozari ","Coatzacoalcos","Veracruz","96400","N/A","N","F","F","N","N","N","MB","SM","N/A","mercedesbenzveracruz.com.mx ","mercedesbenzveracruz.com.mx ","mercedesbenzveracruz.com.mx ","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7081","19.2253","-99.103454","Autosat De Mexico S.A. de C.V.","GS0030143","55 5636 0600","55 5636 0600","Insurgentes Sur No. 1070 ","Col.Insurgentes San Borja","Mexico","Ciudad de Mexico","3100","N/A","N","F","F","N","N","N","MB","SM","N/A","autosatinsurgentes.com.mx/?rd=true","autosatinsurgentes.com.mx/?rd=true","autosatinsurgentes.com.mx/?rd=true","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7082","19.22539","-99.101293","Autosat De Mexico S.A. de C.V.","GS0036089","55 5488 9942","55 5488 9942","Adolfo Prieto 1249 ","Col. Del Valle","Mexico","Ciudad de Mexico","3104","N/A","N","F","F","N","N","N","MB","SM","N/A","autosatinsurgentes.com.mx/?rd=true","autosatinsurgentes.com.mx/?rd=true","autosatinsurgentes.com.mx/?rd=true","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7090","25.332112","-103.261802","Automotriz Lagunera S.A. de C.V.","GS0016015","871 747 2600","871 747 2600","Blvd. Indep 1000","Col. Centro Oriente","Torreon","Coahuila","27000","N/A","N","F","F","N","N","N","MB","SM","N/A","www.mercedesbenzlaguna.com.mx","www.mercedesbenzlaguna.com.mx","www.mercedesbenzlaguna.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7106","25.392459","-100.220459","Car One Monterrey S.A. de C.V.","GS0044834","81 2133 7000","81 2133 7000","Calzada del Valle 107 ","Col. Del Valle ","Monterrey","Nuevo Leon","66220","N/A","N","F","F","N","N","N","MB","SM","N/A","www.mercedesbenzcarone.com","www.mercedesbenzcarone.com","www.mercedesbenzcarone.com","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7112","19.035589","-98.132268","Reyes Huerta Angelopolis S.A. de C.V.","GS0044837","222 798 4400","222 798 4400","Av. Hermanos Serdan 194"," Col. Escudos","Puebla","Puebla","72060","N/A","N","F","F","N","N","N","MB","SM","N/A","www.mercedesbenzpuebla.com.mx","www.mercedesbenzpuebla.com.mx","www.mercedesbenzpuebla.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7120","31.44199","-106.255722","Touche Motors S.A. de C.V.","GC0016020","656 623 6533","656 623 6533","Paseo Triunfo de la Republica 6080"," Col. San Lorenzo ","Juarez","Chihuahua","32320","N/A","N","F","F","N","N","N","MB","SM","N/A","www.mercedesbenzchihuahua.com.mx","www.mercedesbenzchihuahua.com.mx","www.mercedesbenzchihuahua.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7121","28.382508","-106.07214","Touche Motors S.A. de C.V.","GS0020500","614 259 1831","614 259 1831","Juventud 6910, Esq Washington ","Col. Cumbres Residencial ","Chihuahua ","Chihuahua","31216","N/A","N","F","F","N","N","N","MB","SM","N/A","www.mercedesbenzchihuahua.com.mx","www.mercedesbenzchihuahua.com.mx","www.mercedesbenzchihuahua.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7131","32.315737","-117.00536","Auto Productos De La Costa S.A. de C.V.","GS0016017","664 979 7959","664 979 7959","Fray Servando Teresa Mier 1450 ","Col. Zona del Rio","Tijuana","Baja California Norte","22010","N/A","N","F","F","N","N","N","MB","SM","N/A","www.mercedesbenztijuana.com.mx","www.mercedesbenztijuana.com.mx","www.mercedesbenztijuana.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7150","20.421431","-103.245047","Star Patria S.A. de C.V.","GS0019506","33 3648 0150","33 3648 0150","Ave de la Patria 1756-A ","Col. Santa Isabel ","Zapopan","Jalisco","45110","N/A","N","T","T","N","N","N","MB","SM","N/A","www.starpatria.com.mx","www.starpatria.com.mx","www.starpatria.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7153","20.404804","-103.254386","Star Patria S.A. de C.V.","GS0044838","33 2001 7777","33 2001 7777","Av Rafael Sancio 5455 A ","Col La Estancia Residencial ","Zapopan","Jalisco","45030","N/A","N","F","F","N","N","N","MB","SM","N/A","www.starpatria.com.mx","www.starpatria.com.mx","www.starpatria.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7161","24.091629","-110.105197","Nueva Automotriz Del Toro S.A. de C.V.","GS0053739","612 122 2557","612 122 2557","Isabel La Catolica 1315 ","Col. Centro ","La Paz","Baja California Sur","23000","N/A","N","F","F","N","N","N","MB","SM","N/A","www.mercedesloscabos.com","www.mercedesloscabos.com","www.mercedesloscabos.com","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7170","20.061674","-98.444875","Herrera Premium S.A. de C.V.","GS0042882","771 714 2011","771 714 2011","Blvd. Everardo  Marquez 901B"," Col. Ex Hacienda de Coscotitlan","Pachuca","Hidalgo","42080","N/A","N","F","F","N","N","N","MB","SM","N/A","www.mercedesbenzhidalgo.com","www.mercedesbenzhidalgo.com","www.mercedesbenzhidalgo.com","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7180","18.562959","-99.131169","Cever Cuernavaca, S.A. de C.V.","GS0043453","777 160 4000","777 160 4000","Av. San Diego SN"," Col. Vista Hermosa ","Cuernavaca","Morelos","62290","N/A","N","T","T","N","N","N","MB","SM","N/A","www.mercedes-benzcuernavaca.com.mx","www.mercedes-benzcuernavaca.com.mx","www.mercedes-benzcuernavaca.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7181","16.522013","-99.52102","Cever Cuernavaca, S.A. de C.V.","GS0044913","744 487 0830","744 487 0830","Av. Farallon  No.806","Col. Farallon ","Acapulco","Guerrero","39690","N/A","N","T","T","N","N","N","MB","SM","N/A","www.mercedes-benzacapulco.com.mx","www.mercedes-benzacapulco.com.mx","www.mercedes-benzacapulco.com.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7190","21.093473","-101.414862","Ramsa Leon, S.A. de C.V.","GS0049017","477 779 7580","477 779 7580","Cerro Gordo 252","Del Valle Campestre","Leon","Guanajuato","37150","N/A","N","F","F","N","N","N","MB","SM","N/A","www.mercedes-benz-bajio.mx","www.mercedes-benz-bajio.mx","www.mercedes-benz-bajio.mx","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7053","19.549427","-99.286255","Star Haus S.A. de C.V.","GS0044832","55 1000 8700","55 1000 8700","Av JorgeJimenez Cantu M1L1 ","Col. Bosque Esmeralda ","Mexico","Ciudad de Mexico","52930","N/A","N","T","T","N","N","N","MB","SM","N/A","https://www.starhaus.com.mx/","https://www.starhaus.com.mx/","https://www.starhaus.com.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7065","19.140808","-96.116264","Eurodiez S.A. de C.V.","GS0015457","229 927 1010 ","229 927 1010 ","Av. Ejercito Mexicano numero 155 ","Col. Primero de Mayo Sur","Boca del Rio","Veracruz","94297","N/A","N","F","F","N","N","N","MB","SM","N/A","http://www.mercedesbenzveracruz.com.mx/","http://www.mercedesbenzveracruz.com.mx/","http://www.mercedesbenzveracruz.com.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7070","21.924849","-102.309125","Automotriz Romo S.A. de C.V.","GS0016021","449 149 2299","449 149 2299","Blvd Luis Dolnaldo Colosio #356","Col. Fracc. Valle de las Trojes ","Aguascalientes","Aguascalientes","20115","N/A","N","F","F","N","N","N","MB","SM","N/A","http://www.klasse.com.mx/","http://www.klasse.com.mx/","http://www.klasse.com.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7080","19.522522","-99.227509","Autosat De Mexico S.A. de C.V.","GS0015450","55 1106 0350","55 1106 0350","Blvd. Mexico-Queretaro No. 4","Col.Viveros de la Loma","Tlalnepantla","Estado de Mexico","51080","N/A","N","F","F","N","N","N","MB","SM","N/A","http://www.autosat.com.mx/?rd=true","http://www.autosat.com.mx/?rd=true","http://www.autosat.com.mx/?rd=true","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7084","19.482597","-99.149666","Autosat De Mexico S.A. de C.V.","GS0044833","55 4123 3666","55 4123 3666","Calzada Vallejo 742","Col. Industrial Vallejo","Mexico","Ciudad de Mexico","2630","N/A","N","F","F","N","N","N","MB","SM","N/A","http://www.autosatvallejo.com.mx/?rd=true","http://www.autosatvallejo.com.mx/?rd=true","http://www.autosatvallejo.com.mx/?rd=true","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"36100","42.512383","-71.006391","Flagship Motorcars","GS0002794","(781) 596-9700","(781) 596-9869","385 Broadway","","Lynnfield","ma","1940","NORTHEAST","","","","","","","mb","","","","www.flagshipmotorcars.com/schedule-service.htm","","us","en","StarEai","10/1/2018","StarEai","10/1/2018"
"M01H7130","32.532604","-117.014893","Auto Productos De La Costa S.A. de C.V.","GS0016017","686 561 5777","686 561 5777","Lazaro Cardenas 1598 ","Col. Zacatecas","Mexicali","Baja California Norte","21070","N/A","N","F","F","N","N","N","MB","SM","N/A","http://www.mercedesbenzmexicali.com.mx/","http://www.mercedesbenzmexicali.com.mx/","http://www.mercedesbenzmexicali.com.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7140","24.789333","-107.441132","Premier Autocountry S.A. de C.V.","GS0016686","667 846 4020","667 846 4020","Blvd Pedro Infante 2995 ","Col. Desarrollo Urbano Tres Rios","Culiacan ","Sinaloa","80020","N/A","N","F","F","N","N","N","MB","SM","N/A","http://premierautocountry.com.mx/","http://premierautocountry.com.mx/","http://premierautocountry.com.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7141","29.119389","-110.951279","Premier Autocountry S.A. de C.V.","GS0021922","662 109 0999","662 109 0999","Blvd. Jose Maria Morelos 310 ","Col. Sacramento  ","Hermosillo","Sonora","83144","N/A","N","F","F","N","N","N","MB","SM","N/A","http://premierautocountry.com.mx/","http://premierautocountry.com.mx/","http://premierautocountry.com.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7160","23.008709","-109.728333","Nueva Automotriz Del Toro S.A. de C.V.","GS0020237","624 163 6410","624 163 6410","Carretera Transpeninsular KM 25 No.500 ","Col. Palmillas SJC ","Los Cabos","Baja California Sur","23406","N/A","N","F","F","N","N","N","MB","SM","N/A","http://www.mercedesloscabos.com","http://www.mercedesloscabos.com","http://www.mercedesloscabos.com","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7171","22.130686","-101.033844","Herrera Premium S.A. de C.V.","GS0051307","444 818 7474","444 818 7474","Av. Eugenio Garza Sada 160 ","Col. Lomas de Tecnologico ","San Luis Potosi","San Luis Potosi","78215","N/A","N","F","F","N","N","N","MB","SM","N/A","https://mercedes-benzslp.com/","https://mercedes-benzslp.com/","https://mercedes-benzslp.com/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7191","21.148737","-101.685051","Ramsa Leon, S.A. de C.V.","GS0049019","477 779 7580","477 779 7580","Blvd. Adolfo Lopez Mateos 2519 ","Col. Jardines del Moral","Leon","Guanajuato","37160","N/A","N","F","F","N","N","N","MB","SM","N/A","http://www.mercedes-benz-bajio.mx/","http://www.mercedes-benz-bajio.mx/","http://www.mercedes-benz-bajio.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7032","21.023926","-89.622505","Autotab S.A. de C.V.","GS0017536","999 948 1115","999 948 1115","Prolongacion Montejo 490 x 50","Col. Gonzalo Guerrero ","Merida","Yucatan","97118","N/A","N","F","F","N","N","N","MB","SM","N/A","https://www.mercedes-benz-autotab.com.mx/","https://www.mercedes-benz-autotab.com.mx/","https://www.mercedes-benz-autotab.com.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7105","25.674135","-100.352623","Car One Monterrey S.A. de C.V.","GS0038993","81 8989 3100","81 8989 3100","Doctor Jose Eleuterio Gonzalez 700 ","Col. San Jeronimo ","Monterrey","Nuevo Leon","64640","N/A","N","F","F","N","N","N","MB","SM","N/A","http://www.mercedesbenzcarone.com/","http://www.mercedesbenzcarone.com/","http://www.mercedesbenzcarone.com/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7110","19.014967","-98.255775","Reyes Huerta Angelopolis S.A. de C.V.","GS0015459","222130 8888","222130 8888","Blvd. Atlixcayotl 4000B","Col. Emiliano Zapata C AT07","San Andres Cholula","Puebla","72470","N/A","N","F","F","N","N","N","MB","SM","N/A","http://www.mercedesbenzpuebla.com.mx/","http://www.mercedesbenzpuebla.com.mx/","http://www.mercedesbenzpuebla.com.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7038","20.668505","-103.380554","Eurostern S.A. de C.V.","GS0044831","33 2400 0070","33 2400 0070","Agustin Yanez 2525, Lopez de Vega","Col. Arcos Sur ","Guadalajara","Jalisco","44500","N/A","N","F","F","N","N","N","N/A","N/A","SP","http://www.eurostern.com.mx/","http://www.eurostern.com.mx/","http://www.eurostern.com.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7202","25.681797","-100.274467","Autos y Vanes Villauto, S.A. de C.V.","GS0053785","81 8191 9796","81 8191 9796","Avenida Colon 3903 Oriente ","Col.Fierro Monterrey Nuevo Leon","Monterrey","Nuevo Leon","64590","N/A","N","F","F","N","N","N","N/A","N/A","SP","http://www.villauto.com/","http://www.villauto.com/","http://www.villauto.com/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7083","19.525236","-99.231247","Autosat De Mexico S.A. de C.V.","GS0040406","55 4774 5999","55 4774 5999","16 de Septiembre 7A ","Col. San Lucas Tepetlacalco","Tlalnepantla","Estado de Mexico","54055","N/A","N","F","F","N","N","N","N/A","N/A","SP","http://www.autosat.com.mx/","http://www.autosat.com.mx/","http://www.autosat.com.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7182","18.941817","-99.218672","Autosat De Mexico S.A. de C.V.","GS0049961","744 190 6842 ","744 190 6842 ","Av. Farallon No. Ext. 815 ","Col. Fraccionamiento Farallon","Acapulco","Guerrero","39690","N/A","N","F","F","N","N","N","N/A","N/A","SP","http://www.mercedes-benzacapulco.com.mx/","http://www.mercedes-benzacapulco.com.mx/","http://www.mercedes-benzacapulco.com.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"M01H7017","19.378092","-99.249962","Automotriz Hermer S.A. de C.V.","GS0054563","55 1037 3580","55 1037 3580","Vasco de Quiroga 2000 Local D","Col. La loma Zedec Santa Fe","Mexico","Ciudad de Mexico","1210","N/A","N","F","F","N","N","N","MB","SM","N/A","https://www.hermer.mx/","https://www.hermer.mx/","https://www.hermer.mx/","MX","ES","stareai","7/31/2018","stareai","7/31/2018"
"34205","39.604022","-77.685088","Mercedes-Benz of Hagerstown","GS0002791","(301) 733-2301","(301) 733-4484","1955 Dual Highway","","Hagerstown","md","21740","NORTHEAST","","","","","","","mb","","","","www.drivemb.com/Schedule-Service-Appointment.html","","us","en","StarEai","10/1/2018","StarEai","10/1/2018"
"34203","38.979709","-77.098399","Euro Motorcars, Inc.","GS0002790","(301) 986-8800","(301) 656-0918","7020 Arlington Road","","Bethesda","md","20814","NORTHEAST","","","","","","","mb","","","","www.euromotorcars.mercedesdealer.com/service/index.htm","","us","en","StarEai","10/1/2018","StarEai","10/1/2018"
"34108","39.180274","-77.264535","Euro Motorcars Germantown, Inc.","GS0014094","(301) 601-5500","(240) 686-1696","19750 Germantown Road","","Germantown","md","20874","NORTHEAST","","","","","","","mb","","","","www.germantown.mercedesdealer.com/service/index.htm","","us","en","StarEai","10/1/2018","StarEai","10/1/2018"
"67227","41.2547865","-75.8371607","Mercedes-Benz of Wilkes-Barre","GS0002896","(570) 829-3500","(570) 821-3737","150 Motorworld Drive","","Wilkes-Barre","pa","18703","NORTHEAST","","","","","","","mb","","","","www.motorworldgroupmercedes.com/schedule-service.htm","","us","en","StarEai","10/1/2018","StarEai","10/1/2018"
